gearid,type,subType,skill1,skill2,skill3,skill4
5001002,1,1,20410001:1_20410101:1_20410201:1_20410301:1_20410401:1_20420001:1_20420101:1_20420201:1_20420301:1_20420401:1_20430001:1_20430101:1_20430201:1_20430301:1_20430401:1_20440001:1_20440101:1_20440201:1_20440301:1_20440401:1_20410001:1_20410101:1_20410201:1_20410301:1_20410401:1_20420001:1_20420101:1_20420201:1_20420301:1_20420401:1_20430001:1_20430101:1_20430201:1_20430301:1_20430401:1_20440001:1_20440101:1_20440201:1_20440301:1_20440401:1_20210001:1_20210101:1_20210201:1_20210301:1_20210401:1_20220001:1_20220101:1_20220201:1_20220301:1_20220401:1_20230001:1_20230101:1_20230201:1_20230301:1_20230401:1_20240001:1_20240101:1_20240201:1_20240301:1_20240401:1,20411001:1_20411101:1_20411201:1_20411301:1_20411401:1_20411501:1_20411601:1_20411701:1_20421001:1_20421101:1_20421201:1_20421301:1_20421401:1_20421501:1_20421601:1_20421701:1_20431001:1_20431101:1_20431201:1_20431301:1_20431401:1_20431501:1_20431601:1_20431701:1_20441001:1_20441101:1_20441201:1_20441301:1_20441401:1_20441501:1_20441601:1_20441701:1_20000000:0,20000000:1,20000000:1
1001003,1,1,20120002:1_20120102:1_20120202:1_20120302:1_20120402:1_20130002:1_20130102:1_20130202:1_20130302:1_20130402:1_20140002:1_20140102:1_20140202:1_20140302:1_20140402:1_20510002:1_20510102:1_20510202:1_20510302:1_20510402:1_20520002:1_20520102:1_20520202:1_20520302:1_20520402:1_20530002:1_20530102:1_20530202:1_20530302:1_20530402:1_20540002:1_20540102:1_20540202:1_20540302:1_20540402:1,20120001:1_20120101:1_20120201:1_20120301:1_20120401:1_20130001:1_20130101:1_20130201:1_20130301:1_20130401:1_20140001:1_20140101:1_20140201:1_20140301:1_20140401:1_20120002:1_20120102:1_20120202:1_20120302:1_20120402:1_20130002:1_20130102:1_20130202:1_20130302:1_20130402:1_20140002:1_20140102:1_20140202:1_20140302:1_20140402:1_20120003:1_20120103:1_20120203:1_20120303:1_20120403:1_20130003:1_20130103:1_20130203:1_20130303:1_20130403:1_20140003:1_20140103:1_20140203:1_20140303:1_20140403:1_20121001:1_20121101:1_20121201:1_20121301:1_20121401:1_20121501:1_20121601:1_20121701:1_20131001:1_20131101:1_20131201:1_20131301:1_20131401:1_20131501:1_20131601:1_20131701:1_20141001:1_20141101:1_20141201:1_20141301:1_20141401:1_20141501:1_20141601:1_20141701:1,20000000:1,20000000:1
2001003,1,1,20510001:1_20510101:1_20510201:1_20510301:1_20510401:1_20520001:1_20520101:1_20520201:1_20520301:1_20520401:1_20530001:1_20530101:1_20530201:1_20530301:1_20530401:1_20540001:1_20540101:1_20540201:1_20540301:1_20540401:1_20510001:1_20510101:1_20510201:1_20510301:1_20510401:1_20520001:1_20520101:1_20520201:1_20520301:1_20520401:1_20530001:1_20530101:1_20530201:1_20530301:1_20530401:1_20540001:1_20540101:1_20540201:1_20540301:1_20540401:1_20120001:1_20120101:1_20120201:1_20120301:1_20120401:1_20130001:1_20130101:1_20130201:1_20130301:1_20130401:1_20140001:1_20140101:1_20140201:1_20140301:1_20140401:1,20510001:1_20510101:1_20510201:1_20510301:1_20510401:1_20520001:1_20520101:1_20520201:1_20520301:1_20520401:1_20530001:1_20530101:1_20530201:1_20530301:1_20530401:1_20540001:1_20540101:1_20540201:1_20540301:1_20540401:1_20510002:1_20510102:1_20510202:1_20510302:1_20510402:1_20520002:1_20520102:1_20520202:1_20520302:1_20520402:1_20530002:1_20530102:1_20530202:1_20530302:1_20530402:1_20540002:1_20540102:1_20540202:1_20540302:1_20540402:1_20510003:1_20510103:1_20510203:1_20510303:1_20510403:1_20520003:1_20520103:1_20520203:1_20520303:1_20520403:1_20530003:1_20530103:1_20530203:1_20530303:1_20530403:1_20540003:1_20540103:1_20540203:1_20540303:1_20540403:1_20511001:1_20511101:1_20511201:1_20511301:1_20511401:1_20511501:1_20511601:1_20511701:1_20521001:1_20521101:1_20521201:1_20521301:1_20521401:1_20521501:1_20521601:1_20521701:1_20531001:1_20531101:1_20531201:1_20531301:1_20531401:1_20531501:1_20531601:1_20531701:1_20541001:1_20541101:1_20541201:1_20541301:1_20541401:1_20541501:1_20541601:1_20541701:1,20000000:1,20000000:1
3001003,1,1,20360001:1_20510002:1_20510102:1_20510202:1_20510302:1_20510402:1_20520002:1_20520102:1_20520202:1_20520302:1_20520402:1_20530002:1_20530102:1_20530202:1_20530302:1_20530402:1_20540002:1_20540102:1_20540202:1_20540302:1_20540402:1_20410001:1_20410101:1_20410201:1_20410301:1_20410401:1_20420001:1_20420101:1_20420201:1_20420301:1_20420401:1_20430001:1_20430101:1_20430201:1_20430301:1_20430401:1_20440001:1_20440101:1_20440201:1_20440301:1_20440401:1,20360001:1_20360002:1,20000000:1,20000000:1
4001003,1,1,20210002:1_20210102:1_20210202:1_20210302:1_20210402:1_20220002:1_20220102:1_20220202:1_20220302:1_20220402:1_20230002:1_20230102:1_20230202:1_20230302:1_20230402:1_20240002:1_20240102:1_20240202:1_20240302:1_20240402:1_20410002:1_20410102:1_20410202:1_20410302:1_20410402:1_20420002:1_20420102:1_20420202:1_20420302:1_20420402:1_20430002:1_20430102:1_20430202:1_20430302:1_20430402:1_20440002:1_20440102:1_20440202:1_20440302:1_20440402:1,20210001:1_20210101:1_20210201:1_20210301:1_20210401:1_20220001:1_20220101:1_20220201:1_20220301:1_20220401:1_20230001:1_20230101:1_20230201:1_20230301:1_20230401:1_20240001:1_20240101:1_20240201:1_20240301:1_20240401:1_20210002:1_20210102:1_20210202:1_20210302:1_20210402:1_20220002:1_20220102:1_20220202:1_20220302:1_20220402:1_20230002:1_20230102:1_20230202:1_20230302:1_20230402:1_20240002:1_20240102:1_20240202:1_20240302:1_20240402:1_20210003:1_20210103:1_20210203:1_20210303:1_20210403:1_20220003:1_20220103:1_20220203:1_20220303:1_20220403:1_20230003:1_20230103:1_20230203:1_20230303:1_20230403:1_20240003:1_20240103:1_20240203:1_20240303:1_20240403:1_20211001:1_20211101:1_20211201:1_20211301:1_20211401:1_20211501:1_20211601:1_20211701:1_20221001:1_20221101:1_20221201:1_20221301:1_20221401:1_20221501:1_20221601:1_20221701:1_20231001:1_20231101:1_20231201:1_20231301:1_20231401:1_20231501:1_20231601:1_20231701:1_20241001:1_20241101:1_20241201:1_20241301:1_20241401:1_20241501:1_20241601:1_20241701:1,20000000:1,20000000:1
5001003,1,1,20410001:1_20410101:1_20410201:1_20410301:1_20410401:1_20420001:1_20420101:1_20420201:1_20420301:1_20420401:1_20430001:1_20430101:1_20430201:1_20430301:1_20430401:1_20440001:1_20440101:1_20440201:1_20440301:1_20440401:1_20410001:1_20410101:1_20410201:1_20410301:1_20410401:1_20420001:1_20420101:1_20420201:1_20420301:1_20420401:1_20430001:1_20430101:1_20430201:1_20430301:1_20430401:1_20440001:1_20440101:1_20440201:1_20440301:1_20440401:1_20210001:1_20210101:1_20210201:1_20210301:1_20210401:1_20220001:1_20220101:1_20220201:1_20220301:1_20220401:1_20230001:1_20230101:1_20230201:1_20230301:1_20230401:1_20240001:1_20240101:1_20240201:1_20240301:1_20240401:1,20410001:1_20410101:1_20410201:1_20410301:1_20410401:1_20420001:1_20420101:1_20420201:1_20420301:1_20420401:1_20430001:1_20430101:1_20430201:1_20430301:1_20430401:1_20440001:1_20440101:1_20440201:1_20440301:1_20440401:1_20410002:1_20410102:1_20410202:1_20410302:1_20410402:1_20420002:1_20420102:1_20420202:1_20420302:1_20420402:1_20430002:1_20430102:1_20430202:1_20430302:1_20430402:1_20440002:1_20440102:1_20440202:1_20440302:1_20440402:1_20410003:1_20410103:1_20410203:1_20410303:1_20410403:1_20420003:1_20420103:1_20420203:1_20420303:1_20420403:1_20430003:1_20430103:1_20430203:1_20430303:1_20430403:1_20440003:1_20440103:1_20440203:1_20440303:1_20440403:1_20411001:1_20411101:1_20411201:1_20411301:1_20411401:1_20411501:1_20411601:1_20411701:1_20421001:1_20421101:1_20421201:1_20421301:1_20421401:1_20421501:1_20421601:1_20421701:1_20431001:1_20431101:1_20431201:1_20431301:1_20431401:1_20431501:1_20431601:1_20431701:1_20441001:1_20441101:1_20441201:1_20441301:1_20441401:1_20441501:1_20441601:1_20441701:1,20000000:1,20000000:1
1001004,1,1,20120001:1_20120101:1_20120201:1_20120301:1_20120401:1_20130001:1_20130101:1_20130201:1_20130301:1_20130401:1_20140001:1_20140101:1_20140201:1_20140301:1_20140401:1_20510001:1_20510101:1_20510201:1_20510301:1_20510401:1_20520001:1_20520101:1_20520201:1_20520301:1_20520401:1_20530001:1_20530101:1_20530201:1_20530301:1_20530401:1_20540001:1_20540101:1_20540201:1_20540301:1_20540401:1,20120001:1_20120101:1_20120201:1_20120301:1_20120401:1_20130001:1_20130101:1_20130201:1_20130301:1_20130401:1_20140001:1_20140101:1_20140201:1_20140301:1_20140401:1_20120002:1_20120102:1_20120202:1_20120302:1_20120402:1_20130002:1_20130102:1_20130202:1_20130302:1_20130402:1_20140002:1_20140102:1_20140202:1_20140302:1_20140402:1_20120003:1_20120103:1_20120203:1_20120303:1_20120403:1_20130003:1_20130103:1_20130203:1_20130303:1_20130403:1_20140003:1_20140103:1_20140203:1_20140303:1_20140403:1_20121001:1_20121101:1_20121201:1_20121301:1_20121401:1_20121501:1_20121601:1_20121701:1_20131001:1_20131101:1_20131201:1_20131301:1_20131401:1_20131501:1_20131601:1_20131701:1_20141001:1_20141101:1_20141201:1_20141301:1_20141401:1_20141501:1_20141601:1_20141701:1,20120002:1_20120102:1_20120202:1_20120302:1_20120402:1_20130002:1_20130102:1_20130202:1_20130302:1_20130402:1_20140002:1_20140102:1_20140202:1_20140302:1_20140402:1_20120003:1_20120103:1_20120203:1_20120303:1_20120403:1_20130003:1_20130103:1_20130203:1_20130303:1_20130403:1_20140003:1_20140103:1_20140203:1_20140303:1_20140403:1_20121001:1_20121101:1_20121201:1_20121301:1_20121401:1_20121501:1_20121601:1_20121701:1_20131001:1_20131101:1_20131201:1_20131301:1_20131401:1_20131501:1_20131601:1_20131701:1_20141001:1_20141101:1_20141201:1_20141301:1_20141401:1_20141501:1_20141601:1_20141701:1_20121002:1_20121102:1_20121202:1_20121302:1_20121402:1_20121502:1_20121602:1_20121702:1_20131002:1_20131102:1_20131202:1_20131302:1_20131402:1_20131502:1_20131602:1_20131702:1_20141002:1_20141102:1_20141202:1_20141302:1_20141402:1_20141502:1_20141602:1_20141702:1_20000000:50,20000000:1
2001004,1,1,20510001:1_20510101:1_20510201:1_20510301:1_20510401:1_20520001:1_20520101:1_20520201:1_20520301:1_20520401:1_20530001:1_20530101:1_20530201:1_20530301:1_20530401:1_20540001:1_20540101:1_20540201:1_20540301:1_20540401:1_20510002:1_20510102:1_20510202:1_20510302:1_20510402:1_20520002:1_20520102:1_20520202:1_20520302:1_20520402:1_20530002:1_20530102:1_20530202:1_20530302:1_20530402:1_20540002:1_20540102:1_20540202:1_20540302:1_20540402:1_20120001:1_20120101:1_20120201:1_20120301:1_20120401:1_20130001:1_20130101:1_20130201:1_20130301:1_20130401:1_20140001:1_20140101:1_20140201:1_20140301:1_20140401:1,20510001:1_20510101:1_20510201:1_20510301:1_20510401:1_20520001:1_20520101:1_20520201:1_20520301:1_20520401:1_20530001:1_20530101:1_20530201:1_20530301:1_20530401:1_20540001:1_20540101:1_20540201:1_20540301:1_20540401:1_20510002:1_20510102:1_20510202:1_20510302:1_20510402:1_20520002:1_20520102:1_20520202:1_20520302:1_20520402:1_20530002:1_20530102:1_20530202:1_20530302:1_20530402:1_20540002:1_20540102:1_20540202:1_20540302:1_20540402:1_20510003:1_20510103:1_20510203:1_20510303:1_20510403:1_20520003:1_20520103:1_20520203:1_20520303:1_20520403:1_20530003:1_20530103:1_20530203:1_20530303:1_20530403:1_20540003:1_20540103:1_20540203:1_20540303:1_20540403:1_20511001:1_20511101:1_20511201:1_20511301:1_20511401:1_20511501:1_20511601:1_20511701:1_20521001:1_20521101:1_20521201:1_20521301:1_20521401:1_20521501:1_20521601:1_20521701:1_20531001:1_20531101:1_20531201:1_20531301:1_20531401:1_20531501:1_20531601:1_20531701:1_20541001:1_20541101:1_20541201:1_20541301:1_20541401:1_20541501:1_20541601:1_20541701:1,20510001:1_20510101:1_20510201:1_20510301:1_20510401:1_20520001:1_20520101:1_20520201:1_20520301:1_20520401:1_20530001:1_20530101:1_20530201:1_20530301:1_20530401:1_20540001:1_20540101:1_20540201:1_20540301:1_20540401:1_20510002:1_20510102:1_20510202:1_20510302:1_20510402:1_20520002:1_20520102:1_20520202:1_20520302:1_20520402:1_20530002:1_20530102:1_20530202:1_20530302:1_20530402:1_20540002:1_20540102:1_20540202:1_20540302:1_20540402:1_20511001:1_20511101:1_20511201:1_20511301:1_20511401:1_20511501:1_20511601:1_20511701:1_20521001:1_20521101:1_20521201:1_20521301:1_20521401:1_20521501:1_20521601:1_20521701:1_20531001:1_20531101:1_20531201:1_20531301:1_20531401:1_20531501:1_20531601:1_20531701:1_20541001:1_20541101:1_20541201:1_20541301:1_20541401:1_20541501:1_20541601:1_20541701:1_20511002:1_20511102:1_20511202:1_20511302:1_20511402:1_20511502:1_20511602:1_20511702:1_20521002:1_20521102:1_20521202:1_20521302:1_20521402:1_20521502:1_20521602:1_20521702:1_20531002:1_20531102:1_20531202:1_20531302:1_20531402:1_20531502:1_20531602:1_20531702:1_20541002:1_20541102:1_20541202:1_20541302:1_20541402:1_20541502:1_20541602:1_20541702:1_20000000:50,20000000:1
3001004,1,1,20360001:1_20510002:1_20510102:1_20510202:1_20510302:1_20510402:1_20520002:1_20520102:1_20520202:1_20520302:1_20520402:1_20530002:1_20530102:1_20530202:1_20530302:1_20530402:1_20540002:1_20540102:1_20540202:1_20540302:1_20540402:1_20410001:1_20410101:1_20410201:1_20410301:1_20410401:1_20420001:1_20420101:1_20420201:1_20420301:1_20420401:1_20430001:1_20430101:1_20430201:1_20430301:1_20430401:1_20440001:1_20440101:1_20440201:1_20440301:1_20440401:1,20360001:1_20360002:1,20360001:1_20360002:1_20000000:50,20000000:1
4001004,1,1,20210001:1_20210101:1_20210201:1_20210301:1_20210401:1_20220001:1_20220101:1_20220201:1_20220301:1_20220401:1_20230001:1_20230101:1_20230201:1_20230301:1_20230401:1_20240001:1_20240101:1_20240201:1_20240301:1_20240401:1_20210001:1_20210101:1_20210201:1_20210301:1_20210401:1_20220001:1_20220101:1_20220201:1_20220301:1_20220401:1_20230001:1_20230101:1_20230201:1_20230301:1_20230401:1_20240001:1_20240101:1_20240201:1_20240301:1_20240401:1,20210001:1_20210101:1_20210201:1_20210301:1_20210401:1_20220001:1_20220101:1_20220201:1_20220301:1_20220401:1_20230001:1_20230101:1_20230201:1_20230301:1_20230401:1_20240001:1_20240101:1_20240201:1_20240301:1_20240401:1_20210002:1_20210102:1_20210202:1_20210302:1_20210402:1_20220002:1_20220102:1_20220202:1_20220302:1_20220402:1_20230002:1_20230102:1_20230202:1_20230302:1_20230402:1_20240002:1_20240102:1_20240202:1_20240302:1_20240402:1_20210003:1_20210103:1_20210203:1_20210303:1_20210403:1_20220003:1_20220103:1_20220203:1_20220303:1_20220403:1_20230003:1_20230103:1_20230203:1_20230303:1_20230403:1_20240003:1_20240103:1_20240203:1_20240303:1_20240403:1_20211001:1_20211101:1_20211201:1_20211301:1_20211401:1_20211501:1_20211601:1_20211701:1_20221001:1_20221101:1_20221201:1_20221301:1_20221401:1_20221501:1_20221601:1_20221701:1_20231001:1_20231101:1_20231201:1_20231301:1_20231401:1_20231501:1_20231601:1_20231701:1_20241001:1_20241101:1_20241201:1_20241301:1_20241401:1_20241501:1_20241601:1_20241701:1,20210002:1_20210102:1_20210202:1_20210302:1_20210402:1_20220002:1_20220102:1_20220202:1_20220302:1_20220402:1_20230002:1_20230102:1_20230202:1_20230302:1_20230402:1_20240002:1_20240102:1_20240202:1_20240302:1_20240402:1_20210003:1_20210103:1_20210203:1_20210303:1_20210403:1_20220003:1_20220103:1_20220203:1_20220303:1_20220403:1_20230003:1_20230103:1_20230203:1_20230303:1_20230403:1_20240003:1_20240103:1_20240203:1_20240303:1_20240403:1_20211001:1_20211101:1_20211201:1_20211301:1_20211401:1_20211501:1_20211601:1_20211701:1_20221001:1_20221101:1_20221201:1_20221301:1_20221401:1_20221501:1_20221601:1_20221701:1_20231001:1_20231101:1_20231201:1_20231301:1_20231401:1_20231501:1_20231601:1_20231701:1_20241001:1_20241101:1_20241201:1_20241301:1_20241401:1_20241501:1_20241601:1_20241701:1_20211002:1_20211102:1_20211202:1_20211302:1_20211402:1_20211502:1_20211602:1_20211702:1_20221002:1_20221102:1_20221202:1_20221302:1_20221402:1_20221502:1_20221602:1_20221702:1_20231002:1_20231102:1_20231202:1_20231302:1_20231402:1_20231502:1_20231602:1_20231702:1_20241002:1_20241102:1_20241202:1_20241302:1_20241402:1_20241502:1_20241602:1_20241702:1_20000000:50,20000000:1
5001004,1,1,20410001:1_20410101:1_20410201:1_20410301:1_20410401:1_20420001:1_20420101:1_20420201:1_20420301:1_20420401:1_20430001:1_20430101:1_20430201:1_20430301:1_20430401:1_20440001:1_20440101:1_20440201:1_20440301:1_20440401:1_20410002:1_20410102:1_20410202:1_20410302:1_20410402:1_20420002:1_20420102:1_20420202:1_20420302:1_20420402:1_20430002:1_20430102:1_20430202:1_20430302:1_20430402:1_20440002:1_20440102:1_20440202:1_20440302:1_20440402:1_20210001:1_20210101:1_20210201:1_20210301:1_20210401:1_20220001:1_20220101:1_20220201:1_20220301:1_20220401:1_20230001:1_20230101:1_20230201:1_20230301:1_20230401:1_20240001:1_20240101:1_20240201:1_20240301:1_20240401:1,20410001:1_20410101:1_20410201:1_20410301:1_20410401:1_20420001:1_20420101:1_20420201:1_20420301:1_20420401:1_20430001:1_20430101:1_20430201:1_20430301:1_20430401:1_20440001:1_20440101:1_20440201:1_20440301:1_20440401:1_20410002:1_20410102:1_20410202:1_20410302:1_20410402:1_20420002:1_20420102:1_20420202:1_20420302:1_20420402:1_20430002:1_20430102:1_20430202:1_20430302:1_20430402:1_20440002:1_20440102:1_20440202:1_20440302:1_20440402:1_20410003:1_20410103:1_20410203:1_20410303:1_20410403:1_20420003:1_20420103:1_20420203:1_20420303:1_20420403:1_20430003:1_20430103:1_20430203:1_20430303:1_20430403:1_20440003:1_20440103:1_20440203:1_20440303:1_20440403:1_20411001:1_20411101:1_20411201:1_20411301:1_20411401:1_20411501:1_20411601:1_20411701:1_20421001:1_20421101:1_20421201:1_20421301:1_20421401:1_20421501:1_20421601:1_20421701:1_20431001:1_20431101:1_20431201:1_20431301:1_20431401:1_20431501:1_20431601:1_20431701:1_20441001:1_20441101:1_20441201:1_20441301:1_20441401:1_20441501:1_20441601:1_20441701:1,20410001:1_20410101:1_20410201:1_20410301:1_20410401:1_20420001:1_20420101:1_20420201:1_20420301:1_20420401:1_20430001:1_20430101:1_20430201:1_20430301:1_20430401:1_20440001:1_20440101:1_20440201:1_20440301:1_20440401:1_20410002:1_20410102:1_20410202:1_20410302:1_20410402:1_20420002:1_20420102:1_20420202:1_20420302:1_20420402:1_20430002:1_20430102:1_20430202:1_20430302:1_20430402:1_20440002:1_20440102:1_20440202:1_20440302:1_20440402:1_20411001:1_20411101:1_20411201:1_20411301:1_20411401:1_20411501:1_20411601:1_20411701:1_20421001:1_20421101:1_20421201:1_20421301:1_20421401:1_20421501:1_20421601:1_20421701:1_20431001:1_20431101:1_20431201:1_20431301:1_20431401:1_20431501:1_20431601:1_20431701:1_20441001:1_20441101:1_20441201:1_20441301:1_20441401:1_20441501:1_20441601:1_20441701:1_20411002:1_20411102:1_20411202:1_20411302:1_20411402:1_20411502:1_20411602:1_20411702:1_20421002:1_20421102:1_20421202:1_20421302:1_20421402:1_20421502:1_20421602:1_20421702:1_20431002:1_20431102:1_20431202:1_20431302:1_20431402:1_20431502:1_20431602:1_20431702:1_20441002:1_20441102:1_20441202:1_20441302:1_20441402:1_20441502:1_20441602:1_20441702:1_20000000:50,20000000:1
1001005,1,1,20120001:1_20120101:1_20120201:1_20120301:1_20120401:1_20130001:1_20130101:1_20130201:1_20130301:1_20130401:1_20140001:1_20140101:1_20140201:1_20140301:1_20140401:1_20510001:1_20510101:1_20510201:1_20510301:1_20510401:1_20520001:1_20520101:1_20520201:1_20520301:1_20520401:1_20530001:1_20530101:1_20530201:1_20530301:1_20530401:1_20540001:1_20540101:1_20540201:1_20540301:1_20540401:1,20120001:1_20120101:1_20120201:1_20120301:1_20120401:1_20130001:1_20130101:1_20130201:1_20130301:1_20130401:1_20140001:1_20140101:1_20140201:1_20140301:1_20140401:1_20120002:1_20120102:1_20120202:1_20120302:1_20120402:1_20130002:1_20130102:1_20130202:1_20130302:1_20130402:1_20140002:1_20140102:1_20140202:1_20140302:1_20140402:1_20120003:1_20120103:1_20120203:1_20120303:1_20120403:1_20130003:1_20130103:1_20130203:1_20130303:1_20130403:1_20140003:1_20140103:1_20140203:1_20140303:1_20140403:1_20121001:1_20121101:1_20121201:1_20121301:1_20121401:1_20121501:1_20121601:1_20121701:1_20131001:1_20131101:1_20131201:1_20131301:1_20131401:1_20131501:1_20131601:1_20131701:1_20141001:1_20141101:1_20141201:1_20141301:1_20141401:1_20141501:1_20141601:1_20141701:1,20120002:1_20120102:1_20120202:1_20120302:1_20120402:1_20130002:1_20130102:1_20130202:1_20130302:1_20130402:1_20140002:1_20140102:1_20140202:1_20140302:1_20140402:1_20120003:1_20120103:1_20120203:1_20120303:1_20120403:1_20130003:1_20130103:1_20130203:1_20130303:1_20130403:1_20140003:1_20140103:1_20140203:1_20140303:1_20140403:1_20121001:1_20121101:1_20121201:1_20121301:1_20121401:1_20121501:1_20121601:1_20121701:1_20131001:1_20131101:1_20131201:1_20131301:1_20131401:1_20131501:1_20131601:1_20131701:1_20141001:1_20141101:1_20141201:1_20141301:1_20141401:1_20141501:1_20141601:1_20141701:1_20121002:1_20121102:1_20121202:1_20121302:1_20121402:1_20121502:1_20121602:1_20121702:1_20131002:1_20131102:1_20131202:1_20131302:1_20131402:1_20131502:1_20131602:1_20131702:1_20141002:1_20141102:1_20141202:1_20141302:1_20141402:1_20141502:1_20141602:1_20141702:1,20120003:1_20120103:1_20120203:1_20120303:1_20120403:1_20130003:1_20130103:1_20130203:1_20130303:1_20130403:1_20140003:1_20140103:1_20140203:1_20140303:1_20140403:1_20120004:1_20120104:1_20120204:1_20120304:1_20120404:1_20130004:1_20130104:1_20130204:1_20130304:1_20130404:1_20140004:1_20140104:1_20140204:1_20140304:1_20140404:1_20121002:1_20121102:1_20121202:1_20121302:1_20121402:1_20121502:1_20121602:1_20121702:1_20131002:1_20131102:1_20131202:1_20131302:1_20131402:1_20131502:1_20131602:1_20131702:1_20141002:1_20141102:1_20141202:1_20141302:1_20141402:1_20141502:1_20141602:1_20141702:1_20121003:1_20121103:1_20121203:1_20121303:1_20121403:1_20121503:1_20121603:1_20121703:1_20131003:1_20131103:1_20131203:1_20131303:1_20131403:1_20131503:1_20131603:1_20131703:1_20141003:1_20141103:1_20141203:1_20141303:1_20141403:1_20141503:1_20141603:1_20141703:1_20000000:50
