skillid,type,subtype,color,rare,iconskill,iconlevel,icontarget,isPercent,lv1,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv11,lv12,lv13,lv14,lv15,lv16,lv17,lv18,lv19,lv20,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,val1,val2,val3,val4,val5,val6,val7,val8,val9,val10
20230004,2,4,Colorbar_Blue,1,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20230104,2,8,Colorbar_Blue,2,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20230204,2,13,Colorbar_Blue,3,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20230304,2,16,Colorbar_Blue,4,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20230404,2,19,Colorbar_Blue,5,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20240004,2,6,Colorbar_Blue,1,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20240104,2,11,Colorbar_Blue,2,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20240204,2,12,Colorbar_Blue,3,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20240304,2,15,Colorbar_Blue,4,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20240404,2,18,Colorbar_Blue,5,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20211004,2,1+9,Colorbar_Blue,6,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20211104,2,1+9+2,Colorbar_Blue,12,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20211204,2,1+9+2+3,Colorbar_Blue,20,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20211304,2,9+2,Colorbar_Blue,10,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20211404,2,2+3,Colorbar_Blue,14,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20211504,2,9+2+3,Colorbar_Blue,18,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20211604,2,3+20,Colorbar_Blue,18,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20211704,2,9+2+3+20,Colorbar_Blue,28,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20221004,2,5+7,Colorbar_Blue,6,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20221104,2,5+7+10,Colorbar_Blue,12,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20221204,2,5+7+10+14,Colorbar_Blue,20,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20221304,2,7+10,Colorbar_Blue,10,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20221404,2,10+14,Colorbar_Blue,14,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20221504,2,7+10+14,Colorbar_Blue,18,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20221604,2,14+17,Colorbar_Blue,18,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20221704,2,7+10+14+17,Colorbar_Blue,28,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20231004,2,4+8,Colorbar_Blue,6,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20231104,2,4+8+13,Colorbar_Blue,12,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20231204,2,4+8+13+16,Colorbar_Blue,20,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20231304,2,8+13,Colorbar_Blue,10,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20231404,2,13+16,Colorbar_Blue,14,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20231504,2,8+13+16,Colorbar_Blue,18,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20231604,2,16+19,Colorbar_Blue,18,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20231704,2,8+13+16+19,Colorbar_Blue,28,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20241004,2,6+11,Colorbar_Blue,6,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20241104,2,6+11+12,Colorbar_Blue,12,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20241204,2,6+11+12+15,Colorbar_Blue,20,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20241304,2,11+12,Colorbar_Blue,10,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20241404,2,12+15,Colorbar_Blue,14,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20241504,2,11+12+15,Colorbar_Blue,18,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20241604,2,15+18,Colorbar_Blue,18,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20241704,2,11+12+15+18,Colorbar_Blue,28,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20212004,2,1+2+3+9+20,Colorbar_Blue,45,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20222004,2,5+7+10+14+17,Colorbar_Blue,45,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20232004,2,4+8+13+16+19,Colorbar_Blue,45,Life,4,Cavalry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20242004,2,6+11+12+15+18,Colorbar_Blue,45,Life,4,Archers,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20250004,2,1+4+5+6,Colorbar_Blue,45,Life,4,T1,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20250104,2,7+8+9+11,Colorbar_Blue,45,Life,4,T2,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20250204,2,2+10+12+13,Colorbar_Blue,45,Life,4,T3,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20250304,2,3+14+15+16,Colorbar_Blue,45,Life,4,T4,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20250404,2,17+18+19+20,Colorbar_Blue,45,Life,4,T5,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20260004,2,99,Colorbar_Blue,200,Life,4,Troops,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20210003,2,1,Colorbar_Blue,1,Life,3,Supply,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20210103,2,9,Colorbar_Blue,2,Life,3,Supply,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20210203,2,2,Colorbar_Blue,3,Life,3,Supply,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20210303,2,3,Colorbar_Blue,4,Life,3,Supply,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20210403,2,20,Colorbar_Blue,5,Life,3,Supply,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20220003,2,5,Colorbar_Blue,1,Life,3,Infantry,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20220103,2,7,Colorbar_Blue,2,Life,3,Infantry,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20220203,2,10,Colorbar_Blue,3,Life,3,Infantry,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20220303,2,14,Colorbar_Blue,4,Life,3,Infantry,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20220403,2,17,Colorbar_Blue,5,Life,3,Infantry,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20230003,2,4,Colorbar_Blue,1,Life,3,Cavalry,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20230103,2,8,Colorbar_Blue,2,Life,3,Cavalry,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20230203,2,13,Colorbar_Blue,3,Life,3,Cavalry,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20230303,2,16,Colorbar_Blue,4,Life,3,Cavalry,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20230403,2,19,Colorbar_Blue,5,Life,3,Cavalry,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20240003,2,6,Colorbar_Blue,1,Life,3,Archers,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20240103,2,11,Colorbar_Blue,2,Life,3,Archers,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20240203,2,12,Colorbar_Blue,3,Life,3,Archers,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20240303,2,15,Colorbar_Blue,4,Life,3,Archers,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20240403,2,18,Colorbar_Blue,5,Life,3,Archers,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20211003,2,1+9,Colorbar_Blue,6,Life,3,Supply,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20211103,2,1+9+2,Colorbar_Blue,12,Life,3,Supply,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
20211203,2,1+9+2+3,Colorbar_Blue,20,Life,3,Supply,1,3000,3200,3600,4050,4550,5100,5700,6350,7050,7800,8550,9300,10050,10800,11550,12300,13050,13800,14550,15300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,1500,1600,1800,2050,2275,2550,2850,3175,3525,
