gearid,pic,smallPic,rare,type,req1,req2,req3,req4,skill1,skill2,skill3,skill4,skill5,skill6,baseTarget,defaultToExp,lv0_attack,lv0_hp,lv0_limit,lv0_load,lv0_speed,lv0_exp,lv0_might,lv1_attack,lv1_hp,lv1_limit,lv1_load,lv1_speed,lv1_exp,lv1_might,lv2_attack,lv2_hp,lv2_limit,lv2_load,lv2_speed,lv2_exp,lv2_might,lv3_attack,lv3_hp,lv3_limit,lv3_load,lv3_speed,lv3_exp,lv3_might,lv4_attack,lv4_hp,lv4_limit,lv4_load,lv4_speed,lv4_exp,lv4_might,lv5_attack,lv5_hp,lv5_limit,lv5_load,lv5_speed,lv5_exp,lv5_might,lv6_attack,lv6_hp,lv6_limit,lv6_load,lv6_speed,lv6_exp,lv6_might,colorIndex,tierPic,tierSmallPic,tierSlot,tierExp,tierMight,tierHp,tierAttack,tierIndex
5001002,arm_5001002,i_arm_5001002,2,5,1_40,,,,,,20000000,20000000,,,99,60,300,300,0,0,0,0,0,400,400,0,0,0,1000,250,500,500,0,0,0,2900,375,600,600,0,0,0,5800,500,700,700,0,0,0,19300,750,,,,,,,,,,,,,,,0,arm_5001001:arm_5001001:arm_5001002:arm_5001002:arm_5001003:arm_5001003:arm_5001004:arm_5001004:arm_5001005:arm_50010016,i_arm_5001001:i_arm_5001001:i_arm_5001002:i_arm_5001002:i_arm_5001003:i_arm_5001003:i_arm_5001004:i_arm_5001004:i_arm_5001005:i_arm_50010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
1001003,arm_1001003,i_arm_1001003,3,1,1_80,,,,,,,20000000,,,99,70,500,300,0,0,0,0,0,600,400,0,0,0,1500,375,700,500,0,0,0,4400,500,800,600,0,0,0,8700,625,900,700,0,0,0,29000,875,,,,,,,,,,,,,,,1,arm_1001001:arm_1001001:arm_1001002:arm_1001002:arm_1001003:arm_1001003:arm_1001004:arm_1001004:arm_1001005:arm_10010016,i_arm_1001001:i_arm_1001001:i_arm_1001002:i_arm_1001002:i_arm_1001003:i_arm_1001003:i_arm_1001004:i_arm_1001004:i_arm_1001005:i_arm_10010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
2001003,arm_2001003,i_arm_2001003,3,2,1_80,,,,,,,20000000,,,99,70,400,300,0,0,0,0,0,500,300,0,0,0,1500,375,600,300,0,0,0,4400,500,700,300,0,0,0,8700,625,800,300,0,0,0,29000,875,,,,,,,,,,,,,,,1,arm_2001001:arm_2001001:arm_2001002:arm_2001002:arm_2001003:arm_2001003:arm_2001004:arm_2001004:arm_2001005:arm_20010016,i_arm_2001001:i_arm_2001001:i_arm_2001002:i_arm_2001002:i_arm_2001003:i_arm_2001003:i_arm_2001004:i_arm_2001004:i_arm_2001005:i_arm_20010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
3001003,arm_3001003,i_arm_3001003,3,3,1_80,,,,,,,20000000,,,99,70,400,400,0,0,0,0,0,500,500,0,0,0,1500,375,600,600,0,0,0,4400,500,700,700,0,0,0,8700,625,800,800,0,0,0,29000,875,,,,,,,,,,,,,,,1,arm_3001001:arm_3001001:arm_3001002:arm_3001002:arm_3001003:arm_3001003:arm_3001004:arm_3001004:arm_3001005:arm_30010016,i_arm_3001001:i_arm_3001001:i_arm_3001002:i_arm_3001002:i_arm_3001003:i_arm_3001003:i_arm_3001004:i_arm_3001004:i_arm_3001005:i_arm_30010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
4001003,arm_4001003,i_arm_4001003,3,4,1_80,,,,,,,20000000,,,99,70,300,500,0,0,0,0,0,400,600,0,0,0,1500,375,500,700,0,0,0,4400,500,600,800,0,0,0,8700,625,700,900,0,0,0,29000,875,,,,,,,,,,,,,,,1,arm_4001001:arm_4001001:arm_4001002:arm_4001002:arm_4001003:arm_4001003:arm_4001004:arm_4001004:arm_4001005:arm_40010016,i_arm_4001001:i_arm_4001001:i_arm_4001002:i_arm_4001002:i_arm_4001003:i_arm_4001003:i_arm_4001004:i_arm_4001004:i_arm_4001005:i_arm_40010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
5001003,arm_5001003,i_arm_5001003,3,5,1_80,,,,,,,20000000,,,99,70,400,400,0,0,0,0,0,500,500,0,0,0,1500,375,600,600,0,0,0,4400,500,700,700,0,0,0,8700,625,800,800,0,0,0,29000,875,,,,,,,,,,,,,,,1,arm_5001001:arm_5001001:arm_5001002:arm_5001002:arm_5001003:arm_5001003:arm_5001004:arm_5001004:arm_5001005:arm_50010016,i_arm_5001001:i_arm_5001001:i_arm_5001002:i_arm_5001002:i_arm_5001003:i_arm_5001003:i_arm_5001004:i_arm_5001004:i_arm_5001005:i_arm_50010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
1001004,arm_1001004,i_arm_1001004,4,1,1_120,,,,,,,,,,99,90,700,500,0,0,0,0,0,800,600,0,0,0,2400,500,900,700,0,0,0,7200,625,1000,800,0,0,0,14400,750,1100,900,0,0,0,48000,1000,,,,,,,,,,,,,,,1,arm_1001001:arm_1001001:arm_1001002:arm_1001002:arm_1001003:arm_1001003:arm_1001004:arm_1001004:arm_1001005:arm_10010016,i_arm_1001001:i_arm_1001001:i_arm_1001002:i_arm_1001002:i_arm_1001003:i_arm_1001003:i_arm_1001004:i_arm_1001004:i_arm_1001005:i_arm_10010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
2001004,arm_2001004,i_arm_2001004,4,2,1_120,,,,,,,,,,99,90,600,500,0,0,0,0,0,700,500,0,0,0,2400,500,800,500,0,0,0,7200,625,900,500,0,0,0,14400,750,1000,500,0,0,0,48000,1000,,,,,,,,,,,,,,,1,arm_2001001:arm_2001001:arm_2001002:arm_2001002:arm_2001003:arm_2001003:arm_2001004:arm_2001004:arm_2001005:arm_20010016,i_arm_2001001:i_arm_2001001:i_arm_2001002:i_arm_2001002:i_arm_2001003:i_arm_2001003:i_arm_2001004:i_arm_2001004:i_arm_2001005:i_arm_20010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
3001004,arm_3001004,i_arm_3001004,4,3,1_120,,,,,,,,,,99,90,600,600,0,0,0,0,0,700,700,0,0,0,2400,500,800,800,0,0,0,7200,625,900,900,0,0,0,14400,750,1000,1000,0,0,0,48000,1000,,,,,,,,,,,,,,,1,arm_3001001:arm_3001001:arm_3001002:arm_3001002:arm_3001003:arm_3001003:arm_3001004:arm_3001004:arm_3001005:arm_30010016,i_arm_3001001:i_arm_3001001:i_arm_3001002:i_arm_3001002:i_arm_3001003:i_arm_3001003:i_arm_3001004:i_arm_3001004:i_arm_3001005:i_arm_30010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
4001004,arm_4001004,i_arm_4001004,4,4,1_120,,,,,,,,,,99,90,500,700,0,0,0,0,0,600,800,0,0,0,2400,500,700,900,0,0,0,7200,625,800,1000,0,0,0,14400,750,900,1100,0,0,0,48000,1000,,,,,,,,,,,,,,,1,arm_4001001:arm_4001001:arm_4001002:arm_4001002:arm_4001003:arm_4001003:arm_4001004:arm_4001004:arm_4001005:arm_40010016,i_arm_4001001:i_arm_4001001:i_arm_4001002:i_arm_4001002:i_arm_4001003:i_arm_4001003:i_arm_4001004:i_arm_4001004:i_arm_4001005:i_arm_40010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
5001004,arm_5001004,i_arm_5001004,4,5,1_120,,,,,,,,,,99,90,600,600,0,0,0,0,0,700,700,0,0,0,2400,500,800,800,0,0,0,7200,625,900,900,0,0,0,14400,750,1000,1000,0,0,0,48000,1000,,,,,,,,,,,,,,,1,arm_5001001:arm_5001001:arm_5001002:arm_5001002:arm_5001003:arm_5001003:arm_5001004:arm_5001004:arm_5001005:arm_50010016,i_arm_5001001:i_arm_5001001:i_arm_5001002:i_arm_5001002:i_arm_5001003:i_arm_5001003:i_arm_5001004:i_arm_5001004:i_arm_5001005:i_arm_50010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
1001005,arm_1001005,i_arm_1001005,5,1,1_160,,,,,,,,,,99,110,900,700,0,0,0,0,0,1000,800,0,0,0,3400,625,1100,900,0,0,0,10100,750,1200,1000,0,0,0,20200,875,1300,1100,0,0,0,67300,1125,,,,,,,,,,,,,,,2,arm_1001001:arm_1001001:arm_1001002:arm_1001002:arm_1001003:arm_1001003:arm_1001004:arm_1001004:arm_1001005:arm_10010016,i_arm_1001001:i_arm_1001001:i_arm_1001002:i_arm_1001002:i_arm_1001003:i_arm_1001003:i_arm_1001004:i_arm_1001004:i_arm_1001005:i_arm_10010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
2001005,arm_2001005,i_arm_2001005,5,2,1_160,,,,,,,,,,99,110,800,700,0,0,0,0,0,900,700,0,0,0,3400,625,1000,700,0,0,0,10100,750,1100,700,0,0,0,20200,875,1200,700,0,0,0,67300,1125,,,,,,,,,,,,,,,2,arm_2001001:arm_2001001:arm_2001002:arm_2001002:arm_2001003:arm_2001003:arm_2001004:arm_2001004:arm_2001005:arm_20010016,i_arm_2001001:i_arm_2001001:i_arm_2001002:i_arm_2001002:i_arm_2001003:i_arm_2001003:i_arm_2001004:i_arm_2001004:i_arm_2001005:i_arm_20010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
3001005,arm_3001005,i_arm_3001005,5,3,1_160,,,,,,,,,,99,110,800,800,0,0,0,0,0,900,900,0,0,0,3400,625,1000,1000,0,0,0,10100,750,1100,1100,0,0,0,20200,875,1200,1200,0,0,0,67300,1125,,,,,,,,,,,,,,,2,arm_3001001:arm_3001001:arm_3001002:arm_3001002:arm_3001003:arm_3001003:arm_3001004:arm_3001004:arm_3001005:arm_30010016,i_arm_3001001:i_arm_3001001:i_arm_3001002:i_arm_3001002:i_arm_3001003:i_arm_3001003:i_arm_3001004:i_arm_3001004:i_arm_3001005:i_arm_30010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
4001005,arm_4001005,i_arm_4001005,5,4,1_160,,,,,,,,,,99,110,700,900,0,0,0,0,0,800,1000,0,0,0,3400,625,900,1100,0,0,0,10100,750,1000,1200,0,0,0,20200,875,1100,1300,0,0,0,67300,1125,,,,,,,,,,,,,,,2,arm_4001001:arm_4001001:arm_4001002:arm_4001002:arm_4001003:arm_4001003:arm_4001004:arm_4001004:arm_4001005:arm_40010016,i_arm_4001001:i_arm_4001001:i_arm_4001002:i_arm_4001002:i_arm_4001003:i_arm_4001003:i_arm_4001004:i_arm_4001004:i_arm_4001005:i_arm_40010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
5001005,arm_5001005,i_arm_5001005,5,5,1_160,,,,,,,,,,99,110,800,800,0,0,0,0,0,900,900,0,0,0,3400,625,1000,1000,0,0,0,10100,750,1100,1100,0,0,0,20200,875,1200,1200,0,0,0,67300,1125,,,,,,,,,,,,,,,2,arm_5001001:arm_5001001:arm_5001002:arm_5001002:arm_5001003:arm_5001003:arm_5001004:arm_5001004:arm_5001005:arm_50010016,i_arm_5001001:i_arm_5001001:i_arm_5001002:i_arm_5001002:i_arm_5001003:i_arm_5001003:i_arm_5001004:i_arm_5001004:i_arm_5001005:i_arm_50010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
1001006,arm_1001006,i_arm_1001006,6,1,1_200,,,,,,,,,,99,130,1100,900,0,0,0,0,0,1200,1000,0,0,0,4400,750,1300,1100,0,0,0,13000,875,1400,1200,0,0,0,26000,1000,1500,1300,0,0,0,86600,1250,,,,,,,,,,,,,,,2,arm_1001001:arm_1001001:arm_1001002:arm_1001002:arm_1001003:arm_1001003:arm_1001004:arm_1001004:arm_1001005:arm_10010016,i_arm_1001001:i_arm_1001001:i_arm_1001002:i_arm_1001002:i_arm_1001003:i_arm_1001003:i_arm_1001004:i_arm_1001004:i_arm_1001005:i_arm_10010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
2001006,arm_2001006,i_arm_2001006,6,2,1_200,,,,,,,,,,99,130,1000,900,0,0,0,0,0,1100,900,0,0,0,4400,750,1200,900,0,0,0,13000,875,1300,900,0,0,0,26000,1000,1400,900,0,0,0,86600,1250,,,,,,,,,,,,,,,2,arm_2001001:arm_2001001:arm_2001002:arm_2001002:arm_2001003:arm_2001003:arm_2001004:arm_2001004:arm_2001005:arm_20010016,i_arm_2001001:i_arm_2001001:i_arm_2001002:i_arm_2001002:i_arm_2001003:i_arm_2001003:i_arm_2001004:i_arm_2001004:i_arm_2001005:i_arm_20010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
3001006,arm_3001006,i_arm_3001006,6,3,1_200,,,,,,,,,,99,130,1000,1000,0,0,0,0,0,1100,1100,0,0,0,4400,750,1200,1200,0,0,0,13000,875,1300,1300,0,0,0,26000,1000,1400,1400,0,0,0,86600,1250,,,,,,,,,,,,,,,2,arm_3001001:arm_3001001:arm_3001002:arm_3001002:arm_3001003:arm_3001003:arm_3001004:arm_3001004:arm_3001005:arm_30010016,i_arm_3001001:i_arm_3001001:i_arm_3001002:i_arm_3001002:i_arm_3001003:i_arm_3001003:i_arm_3001004:i_arm_3001004:i_arm_3001005:i_arm_30010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
4001006,arm_4001006,i_arm_4001006,6,4,1_200,,,,,,,,,,99,130,900,1100,0,0,0,0,0,1000,1200,0,0,0,4400,750,1100,1300,0,0,0,13000,875,1200,1400,0,0,0,26000,1000,1300,1500,0,0,0,86600,1250,,,,,,,,,,,,,,,2,arm_4001001:arm_4001001:arm_4001002:arm_4001002:arm_4001003:arm_4001003:arm_4001004:arm_4001004:arm_4001005:arm_40010016,i_arm_4001001:i_arm_4001001:i_arm_4001002:i_arm_4001002:i_arm_4001003:i_arm_4001003:i_arm_4001004:i_arm_4001004:i_arm_4001005:i_arm_40010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
5001006,arm_5001006,i_arm_5001006,6,5,1_200,,,,,,,,,,99,130,1000,1000,0,0,0,0,0,1100,1100,0,0,0,4400,750,1200,1200,0,0,0,13000,875,1300,1300,0,0,0,26000,1000,1400,1400,0,0,0,86600,1250,,,,,,,,,,,,,,,2,arm_5001001:arm_5001001:arm_5001002:arm_5001002:arm_5001003:arm_5001003:arm_5001004:arm_5001004:arm_5001005:arm_50010016,i_arm_5001001:i_arm_5001001:i_arm_5001002:i_arm_5001002:i_arm_5001003:i_arm_5001003:i_arm_5001004:i_arm_5001004:i_arm_5001005:i_arm_50010016,1:2:3:4:4:4:4:4:4:4,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,100:150:200:250:300:350:400:450:500:550,0:0:0:1:1:1:2:2:2:3
